iteration_number,time
0,1191.6
1,1189.3
2,1193.6
3,1318.3
4,1500.8
5,1232.1
6,1508.2
7,1291.3
8,1293.9
9,1238.8
10,1244.6
11,1488.1
12,1497.6
13,1226.8
14,1501.7
15,1570
16,1221.7
17,1262.8
18,1475.8
19,1224.7
20,1217.6
21,1317.2
22,1239
23,1244.2
24,1431.7
25,1329.4
26,1317.9
27,1449.5
28,1324.1
29,1463.9
30,1381.8
31,1437.9
32,1442.1
33,1382.4
34,1465.8
35,1289.9
36,1265.6
37,1389.1
38,1307.2
39,1284.1
40,1329
41,1213.8
42,1232.3
43,1229.3
44,1202.5
45,1220.1
46,1204.4
47,1210.1
48,1229.3
49,1221.6
50,1214.7
51,1422.5
52,1220.9
53,1201.1
54,1250.2
55,1195.6
56,1205.6
57,1233.8
58,1224.7
59,1203.5
60,1200.7
61,1246.2
62,1234.8
63,1344
64,1263.8
65,1337.6
66,1220.4
67,1365.9
68,1224.5
69,1194.1
70,1194.8
71,1199.1
72,1195.7
73,1197.3
74,1210.4
75,1219.3
76,1207.3
77,1200.7
78,1254.2
79,1206.7
80,1207.4
81,1196
82,1226.3
83,1216.4
84,1193.1
85,1220.1
86,1228.5
87,1219.2
88,1225.2
89,1210
90,1233
91,1209.3
92,1212.3
93,1306.6
94,1204.6
95,1240
96,1201.6
97,1195.1
98,1206.9
99,1195.5
