iteration_number,time
0,2537.5
1,1088.1
2,1351.3
3,1620.4
4,1210.6
5,1098.4
6,1243.2
7,1213.7
8,1392.7
9,1178.8
10,1241.8
11,1072.8
12,1158.9
13,1202.4
14,1119.5
15,1075.5
16,1101.9
17,1120.8
18,1073.9
19,1144.1
20,1142.3
21,1158.6
22,1104.4
23,1214.3
24,1166.8
25,1151.4
26,1134
27,1129.4
28,1163.9
29,1157.8
30,1150.5
31,1179.6
32,1159.1
33,1065.8
34,1092.4
35,1126.8
36,1122.3
37,1117.4
38,1183.2
39,1117.9
40,1099.5
41,1116.9
42,1051.7
43,1062.3
44,1092.6
45,1078.3
46,1166.1
47,1065.1
48,1095.8
49,1082.7
50,1089.2
51,1053.2
52,1084.7
53,1125.2
54,1086.4
55,1103.5
56,1064.6
57,1056.2
58,1103
59,1043.3
60,1062.1
61,1074.3
62,1125.1
63,1083.2
64,1043
65,1094
66,1130.4
67,1089.5
68,1157.2
69,1125.6
70,1101.7
71,1109.2
72,1097.3
73,1128.1
74,1110.5
75,1165
76,1177.2
77,1177.3
78,1172.1
79,1192.3
80,1277.5
81,1176.4
82,1175.1
83,1179.1
84,1197.5
85,1204.9
86,1182.9
87,1210
88,1199.6
89,1182
90,1225.7
91,1210.8
92,1170.8
93,1219.1
94,1164.7
95,1218.5
96,1155.6
97,1186.3
98,1139.1
99,1181.9
