iteration_number,time
0,54.8
1,2.3
2,3.1
3,1.6
4,2.7
5,4.9
6,3.5
7,1.9
8,5.4
9,2.1
10,11.6
11,5.1
12,2.8
13,7.5
14,3.1
15,3.3
16,9
17,1.8
18,2.7
19,2.3
20,2.4
21,1.9
22,2.6
23,14.4
24,2.5
25,2.2
26,3.4
27,2.4
28,2.1
29,2.1
30,1.8
31,11.7
32,1.6
33,3.1
34,1.6
35,3
36,2.3
37,6.7
38,2.8
39,2.9
40,2.2
41,2.1
42,2.2
43,3.9
44,2.5
45,2.4
46,2
47,4.6
48,2.2
49,2
50,4
51,2.4
52,4.3
53,1.8
54,2.2
55,1.5
56,1.8
57,4.9
58,3.5
59,1.7
60,3.3
61,2.5
62,5.7
63,10.4
64,2.2
65,1.6
66,1.4
67,1.9
68,2.1
69,2.4
70,2.7
71,3.2
72,2
73,1.8
74,2.2
75,3.6
76,2.6
77,1.9
78,1.4
79,2.5
80,2.5
81,4.4
82,1.9
83,9
84,5.6
85,2
86,1.9
87,7.6
88,2.1
89,2
90,1.5
91,1.5
92,2.8
93,2.3
94,1.7
95,2.3
96,2.3
97,1.8
98,2.2
99,2.5
