iteration_number,time
0,318.2
1,347
2,324.3
3,433.6
4,429.4
5,376.5
6,391.5
7,362
8,436.2
9,364.8
10,390.9
11,369.7
12,360.7
13,442.1
14,421.9
15,360.6
16,374.8
17,428
18,370.3
19,355.4
20,432.1
21,358.1
22,359.9
23,438.9
24,353.2
25,386.4
26,382.6
27,385.7
28,385.3
29,395.4
30,412.1
31,416.9
32,402
33,433.7
34,391.2
35,396.5
36,377.7
37,372.6
38,361.6
39,421.3
40,379.2
41,358.5
42,357.5
43,349.4
44,340.1
45,353
46,429.3
47,363.2
48,425.6
49,351.9
50,387.6
51,353.6
52,348.7
53,358.7
54,353.3
55,341.7
56,368.6
57,349.7
58,368.3
59,394.8
60,358.8
61,422.1
62,351.1
63,374.8
64,343.9
65,354.2
66,390
67,343.9
68,350.7
69,355.1
70,368.4
71,352.5
72,346.4
73,357.3
74,345.5
75,356.6
76,348.1
77,351
78,347.4
79,345.1
80,349.9
81,349.1
82,343.3
83,362.2
84,348.7
85,341.2
86,345.4
87,395.1
88,346.2
89,361.9
90,417.9
91,433.5
92,381.7
93,347.9
94,418.5
95,354.8
96,434.7
97,348.2
98,357
99,345.4
