depth,volume
-0.05000001,0
-0.04800004,0
-0.04600006,0
-0.04400009,0
-0.04200011,0
-0.04000014,0
-0.03800017,0
-0.03600019,0
-0.03400022,0
-0.03200024,0
-0.03000027,0
-0.0280003,0
-0.02600032,0
-0.02400035,0
-0.02200037,0
-0.0200004,0
-0.01800042,0
-0.01600045,0
-0.01400048,0
-0.0120005,0
-0.01000053,0
-0.008000553,0
-0.006000578,0
-0.004000604,0
-0.00200063,0
-6.556511E-07,0
0.001999348,0
0.003999352,0
0.005999357,0
0.007999361,0
0.009999365,0
0.01199937,0
0.01399937,0
0.01599938,0
0.01799938,0
0.01999938,0
0.02199939,0
0.02399939,0
0.0259994,0.0001524109
0.0279994,0.0004574113
0.02999941,0.0007624124
0.03199941,0.001067413
0.03399941,0.001372413
0.03599942,0.001677413
0.03799942,0.001982415
0.03999943,0.002287416
0.04199943,0.002592414
0.04399943,0.002897416
0.04599944,0.003202418
0.04799944,0.003507419
0.04999945,0.00381242
0.05199945,0.004117421
0.05399945,0.004422418
0.05599946,0.004727418
0.05799946,0.005032422
0.05999947,0.00533742
0.06199947,0.005642427
0.06399947,0.005947424
0.06599948,0.006252421
0.06799948,0.006557427
0.06999949,0.006862423
0.07199949,0.007167428
0.07399949,0.007472423
0.0759995,0.007904862
0.0779995,0.008464864
0.07999951,0.009024864
0.08199951,0.009584863
0.08399951,0.01014487
0.08599952,0.01070487
0.08799952,0.01126487
0.08999953,0.01182487
0.09199953,0.01238487
0.09399953,0.01294487
0.09599954,0.01350487
0.09799954,0.01406488
0.09999955,0.01462487
0.1019996,0.01518488
0.1039996,0.01574487
0.1059996,0.01630489
0.1079996,0.01686488
0.1099996,0.01742489
0.1119996,0.01798488
0.1139996,0.01854489
0.1159996,0.01910487
0.1179996,0.01966488
0.1199996,0.0202249
0.1219996,0.0207849
0.1239996,0.02134488
0.1259996,0.02202734
0.1279996,0.02283234
0.1299996,0.02363734
0.1319996,0.02444234
0.1339996,0.02524735
