iteration_number,time
0,8758.5
1,5442.3
2,6811
3,5115.3
4,4993.4
5,6016.9
6,5544.6
7,5268.4
8,5154.8
9,5015.9
10,4912.3
11,4985
12,5007
13,4950.2
14,5091.1
15,5060.1
16,5051.2
17,4927.1
18,5012.9
19,4912
20,4966.8
21,4956.1
22,4942.4
23,4891.7
24,4943.8
25,5016.4
26,5042.9
27,4936.4
28,4994
29,4986.8
30,5010.5
31,5043.4
32,5035.1
33,4968.8
34,5010.3
35,5010.1
36,4994.8
37,5021.3
38,4998.2
39,4916
40,5025.7
41,5041.5
42,5178.6
43,5071.3
44,5001.3
45,4938.3
46,4961.8
47,5110.3
48,5140.6
49,5028.2
50,4984.1
51,4994.8
52,4935.3
53,4977.3
54,4934.1
55,4931
56,5012.3
57,5011.2
58,5014.9
59,5001
60,5159.6
61,5003
62,4975.7
63,5010.2
64,4981
65,4917.3
66,4887
67,4965.8
68,4929.3
69,4888.5
70,4979.7
71,4992.7
72,4981.4
73,4925.3
74,4965.6
75,5019.9
76,5113
77,4924.4
78,4965.7
79,4943.5
80,4978.6
81,4971.6
82,4942.9
83,4987.4
84,4970.8
85,4955.7
86,4984
87,4878.5
88,4985.4
89,4944
90,4913.4
91,5009.7
92,5337.1
93,5019.8
94,5037.5
95,4912.8
96,5015.2
97,4948.1
98,4918.3
99,5039.3
