iteration_number,time
0,2165.2
1,886.3
2,2184.8
3,818.7
4,841.8
5,921.6
6,1149.7
7,845.6
8,866
9,904.7
10,897.5
11,931.8
12,870.5
13,911.8
14,945.2
15,856.8
16,900.9
17,937.1
18,886.3
19,876.9
20,881.5
21,862.7
22,890.8
23,864.7
24,838.8
25,858.8
26,888.9
27,874.3
28,832.2
29,902.1
30,868.8
31,859.1
32,928.4
33,890
34,855.8
35,885.8
36,854.2
37,836
38,870.6
39,878.6
40,863.8
41,911.6
42,920
43,856.9
44,865.6
45,887.4
46,867.5
47,827.7
48,876.7
49,855.7
50,868.4
51,868.5
52,873.5
53,862.4
54,881.4
55,885.4
56,872.9
57,882.1
58,888.4
59,864
60,889.1
61,859.7
62,858.6
63,801.6
64,843.7
65,929.6
66,879.2
67,890.4
68,894.4
69,886.7
70,838.1
71,880.9
72,824.3
73,861.6
74,873.4
75,838.1
76,930.4
77,849.2
78,881.8
79,889.2
80,873.3
81,855.5
82,832
83,851.3
84,904.7
85,831
86,854.1
87,903
88,928.8
89,891.2
90,890.2
91,818.8
92,881.7
93,916.4
94,877.2
95,835.2
96,863.9
97,907.8
98,861
99,892.1
