iteration_number,time
0,1503.1
1,387.6
2,2204.6
3,368.3
4,343.8
5,359.9
6,399.7
7,348.5
8,379.1
9,353.5
10,383.5
11,341.2
12,337.8
13,400.4
14,340.2
15,329.9
16,333.2
17,350.8
18,346.4
19,352.7
20,440.3
21,386.6
22,374.5
23,360.5
24,366.2
25,413.4
26,326
27,412.7
28,346.3
29,372.9
30,368.3
31,322.8
32,367.4
33,374.6
34,357.6
35,367.8
36,299.7
37,392
38,338.6
39,356.7
40,328.8
41,325.5
42,361.8
43,358.9
44,340.6
45,361.3
46,354.9
47,310.1
48,352.7
49,321
50,348
51,388.6
52,325.6
53,352.2
54,378.5
55,339.7
56,339.8
57,352.5
58,370.7
59,403.5
60,337.8
61,344.6
62,340.4
63,370.9
64,345.7
65,368
66,320.9
67,338.5
68,329.4
69,379.3
70,374.8
71,339.1
72,330.8
73,358.6
74,372.5
75,382
76,345
77,376.7
78,342.8
79,330.4
80,356.2
81,334
82,338.4
83,331.6
84,335.3
85,344.2
86,351.1
87,359.1
88,336.2
89,353.7
90,335.6
91,355.5
92,350.7
93,364.8
94,388.8
95,334.9
96,405.5
97,341.4
98,362
99,366.6
0,1677.8
1,466.1
2,2387.9
3,373.2
4,372.4
5,317.1
6,361.6
7,441.4
8,387.1
9,338.4
10,406.9
11,404.3
12,371.2
13,376.3
14,374.3
15,335.6
16,384
17,319.9
18,377.3
19,363.7
20,392.8
21,331.1
22,339.5
23,376.1
24,323.1
25,351.5
26,365
27,345.3
28,344.1
29,344.8
30,336.6
31,392.6
32,387.3
33,379.1
34,349.5
35,343.9
36,335.8
37,401.5
38,332.1
39,348.3
40,363.5
41,344.4
42,326.9
43,354.4
44,342.1
45,356.5
46,377
47,363.7
48,388.4
49,361.7
50,359.2
51,355
52,336.9
53,371.1
54,381.9
55,377.7
56,343.6
57,351.3
58,359.4
59,329.7
60,359.7
61,369.1
62,443.1
63,397.2
64,355.7
65,321.3
66,375.8
67,333.8
68,361.9
69,336.7
70,376.9
71,389.9
72,342
73,351.6
74,362
75,388.4
76,347.4
77,381.5
78,364
79,348.5
80,370.3
81,387
82,322.6
83,364.8
84,323.5
85,350.2
86,366.5
87,349.5
88,361
89,358
90,392.2
91,347.6
92,340.1
93,385.4
94,346.4
95,363.4
96,360.9
97,350
98,352.5
99,394.8
0,1894.1
1,586.1
2,2126
3,453.9
4,734.1
5,686.2
6,689.5
7,700.6
8,627.2
9,609.6
10,286.9
11,263.7
12,278.6
13,262
14,277.8
