iteration_number,time
0,1521.5
1,386
2,2190.3
3,380.8
4,445.5
5,372.8
6,388.1
7,393.6
8,390.7
9,336.2
10,682.2
11,417.4
12,323.7
13,333.9
14,308
15,352.5
16,327
17,316.3
18,327.7
19,329
20,345.2
21,313
22,350.1
23,317.5
24,342.3
25,339.3
26,328.3
27,398.6
28,332.8
29,316.1
30,331.8
31,330.1
32,344.3
33,345.1
34,373.9
35,344.3
36,378.8
37,325.8
38,324.6
39,324.8
40,314.8
41,307.3
42,346.8
43,356.3
44,321.5
45,332
46,341
47,375.2
48,329.2
49,328.7
50,361.8
51,361.2
52,333.7
53,348.3
54,337.9
55,336.9
56,342.2
57,326.2
58,367.7
59,357.2
60,323.8
61,329.4
62,317.4
63,328.2
64,342.2
65,308
66,356.7
67,329.7
68,326
69,328.3
70,318.1
71,328.8
72,355.1
73,359
74,355.6
75,357.4
76,313.4
77,382.6
78,344.9
79,347
80,330.7
81,325.6
82,363.6
83,333
84,330
85,344.5
86,335.7
87,352.6
88,314.8
89,350
90,313.2
91,321.8
92,311.9
93,359.5
94,355.2
95,314.8
96,301.7
97,334.4
98,325.8
99,332.9
0,1518.5
1,365.5
2,1819.1
3,330
4,364.8
5,312.2
6,319.4
7,332.8
8,388.4
9,328.5
10,325.7
11,340.4
12,327.4
13,341.3
14,321.7
15,321.3
16,372.3
17,322.2
18,830.3
19,324.3
20,379.6
21,385.3
22,336.3
23,336
24,352
25,348.3
26,341.1
27,350.9
28,327.7
29,330.6
30,377.9
31,326.5
32,366.3
33,345.1
34,325.8
35,338.1
36,376
37,358.2
38,330.2
39,357.8
40,322.3
41,300.5
42,354.1
43,367.5
44,355.7
45,313.2
46,313.2
47,334.1
48,370.8
49,340.6
50,340.1
51,334.4
52,367.5
53,362.8
54,336.5
55,296.3
56,341.8
57,336.3
58,334.5
59,329.7
60,326.4
61,335.1
62,334.5
63,325.7
64,319.2
65,308.7
66,331.1
67,341.1
68,329
69,364.8
70,334.9
71,335.9
72,346.8
73,361
74,360.6
75,313.1
76,338.8
77,320.3
78,321.4
79,402
80,326.5
81,337.5
82,334.1
83,335.2
84,317.2
85,363.2
86,351.4
87,329.2
88,345.7
89,343
90,317.1
91,314.3
92,324.8
93,378.9
94,376.3
95,305.9
96,369.9
97,352.7
98,333.2
99,321.2
0,1487.2
1,403.6
2,2389.2
3,382.5
4,379.4
5,368.8
6,384.9
7,339.7
8,326.6
9,330.5
10,309.9
11,325
12,325
13,346.6
14,327.3
15,323
16,339.3
17,348.7
18,365.3
19,336.2
20,315.4
21,339.6
22,345.3
23,331.3
24,324.1
25,342.1
26,350.7
27,339.1
28,323.4
29,339
30,312.3
31,357.7
32,321.5
33,340.5
34,318.8
35,383.2
36,320.6
37,360.8
38,341.1
39,340.9
40,343.1
41,335.9
42,340.3
43,345.2
44,336.7
45,340.3
46,326.8
47,329.6
48,355.9
49,329
50,319.1
51,323.7
52,329.2
53,346.6
54,367.4
55,331.9
56,346.5
57,327.5
58,348.8
59,341.8
60,342.4
61,338.2
62,327
63,340.9
64,321.9
65,334.8
66,330.7
67,357.9
68,328.6
69,333.2
70,348.2
71,347.6
72,379.6
73,340.8
74,368
75,342.1
76,330
77,342.9
78,341.5
79,337.6
80,356.4
81,342.4
82,344.9
83,358
84,347.5
85,318.4
86,352
87,345
88,353
89,343.4
90,383.1
91,354.4
92,371.7
93,342.4
94,353.7
95,355.6
96,318.6
97,346.2
98,352.3
99,337.7
