depth,volume
-0.05000001,0
-0.04800004,0
-0.04600006,0
-0.04400009,0
-0.04200011,0
-0.04000014,0
-0.03800017,0
-0.03600019,0
-0.03400022,0
-0.03200024,0
-0.03000027,0
-0.0280003,0
-0.02600032,0
-0.02400035,0
-0.02200037,0
-0.0200004,0
-0.01800042,0
-0.01600045,0
-0.01400048,0
-0.0120005,0
-0.01000053,0
-0.008000553,0
-0.006000578,0
-0.004000604,0
-0.00200063,0
-6.556511E-07,0
0.001999348,0
0.003999352,0
0.005999357,0
0.007999361,0
0.009999365,0
0.01199937,0
0.01399937,0.0001133897
0.01599938,0.00026464
0.01799938,0.0004158899
0.01999938,0.0005671407
0.02199939,0.0007183914
0.02399939,0.0008696415
0.0259994,0.001020892
0.0279994,0.001172144
0.02999941,0.001323391
0.03199941,0.001474644
0.03399941,0.001625892
0.03599942,0.001777146
0.03799942,0.001965849
0.03999943,0.002267101
0.04199943,0.002568349
0.04399943,0.0028696
0.04599944,0.003170853
0.04799944,0.003472099
0.04999945,0.003773356
0.05199945,0.004074603
0.05399945,0.004375852
0.05599946,0.004677101
0.05799946,0.004978362
0.05999947,0.005279616
0.06199947,0.005580847
0.06399947,0.00598332
0.06599948,0.006419568
0.06799948,0.00685582
0.06999949,0.007292065
0.07199949,0.007728326
0.07399949,0.008164575
0.0759995,0.008600818
0.0779995,0.009037068
0.07999951,0.009473336
0.08199951,0.009909594
0.08399951,0.01034582
0.08599952,0.01078206
0.08799952,0.01124643
0.08999953,0.01179517
0.09199953,0.01234393
0.09399953,0.01289268
0.09599954,0.01344143
0.09799954,0.01399017
0.09999955,0.01453892
0.1019996,0.01508769
0.1039996,0.01563644
0.1059996,0.01618519
0.1079996,0.01673393
0.1099996,0.01728267
0.1119996,0.01783145
0.1139996,0.01848704
0.1159996,0.01917828
0.1179996,0.01986955
0.1199996,0.02056077
0.1219996,0.02125202
0.1239996,0.0219433
0.1259996,0.02263457
0.1279996,0.02332577
0.1299996,0.02401708
